,Datetime,Text
0,2020-03-11 23:58:51+00:00,"That's completely inaccurate. Again, watch the video. There's a *reason* Sanders is called the Amendment King. Because he does get things done. Any bipartisanship that hurts people? Yes, that's complicit. Whereas Bernie's Yemen bill was great. As POTUS, it would pass."
1,2020-03-11 23:58:46+00:00,"Yemen: UN Population Fund stresses women’s needs, amidst world’s worst humanitarian crisis "
2,2020-03-11 23:58:04+00:00,"Also, I love Bernie, but the Yemen war resolution, it was good he did it and it’s cool it passed the Senate, but if the President can just turn around and veto it, like, is it really worth a lot of praise?"
3,2020-03-11 23:57:57+00:00,"@DHSgov Is the fact that we have had 36,660 Illegals in Jan and 37,119 Feb 2020 illegals coming from all over the world (China Yemen++) traveling to 48 contiguous states might have anything to do with #coronavirus? #BuildTheWall @realDonaldTrump"
4,2020-03-11 23:53:25+00:00,"I'm divided on that. Inside Iran is too much of an escalation and we should also focus on driving Iran out of Syria and Iraq (and Yemen) first. However, Iran is close to a nuclear weapon and we might need to take out its nuclear infrastructure. So you might have a point."
5,2020-03-11 23:52:16+00:00,"Zero info on Yemen. Syria-SOHR has stated COVID-19, has spread mainly, Damascus/Tartus/Latakia/Homs Governorates. There’s no test kits in Idlib or capacity to check in Turkish controlled NW Syria. Libya - Libyan authorities say no cases of #COVID19 have been identified. "
6,2020-03-11 23:49:02+00:00,"Where are the slaves? Slavery is illegal in the civilised world. We do know about sex slaves and sweatshops, when they are found, the perpetrators are arrested. China, Asia, Saudi Arabia, Yemen, not so much."
7,2020-03-11 23:47:31+00:00,"Joe Biden was assisting Obama who was busy green lighting Yemen for the Saudis, arming Al Qaeda in Syria &amp; putting together 38 billion for Israel all while covering SOS Hillary Clinton's scheming ass while she pocketed millions from KSA to her slush fund. NEVER @JoeBiden"
8,2020-03-11 23:46:42+00:00,"Packed room last night @Gleebooks for the launch of ""We Can't Say We Didn't Know"" by @Sophiemcneill in conversation with @rawanarraf. Covered #Syria, #Yemen, defence exports, #Uighurs &amp; more. Important to reflect on stories of those affected by conflict &amp; #humanrights abuses."
9,2020-03-11 23:46:22+00:00,Amazing how man like Mohammad Bone saw can Bomb a country like Yemen using USA Bombs to kill 43 children and you Forgive him for that!
